2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importRegistry': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'applicationEventMulticaster': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'servletContext': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'contextParameters': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'contextAttributes': no URL paths identified
2023-11-07 21:46:17 - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-11-07 21:46:17 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-11-07 21:46:17 - Looking for exception mappings: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1ed1993a: startup date [Tue Nov 07 21:46:08 SAST 2023]; root of context hierarchy
2023-11-07 21:46:17 - Detected @ExceptionHandler methods in globalExceptionHandlerController
2023-11-07 21:46:17 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-11-07 21:46:17 - Looking for resource handler mappings
